__id	__seed	記録の扱い	タイトル	種類	領域	一言要約	タグ	頻度	最終実施日	何をしたか	いつ・どこで	自分の役割	関係者	結果・変化	証拠・具体例	紐づくID	期限	裁量	関係者の広さ	不確実性	条件タグ	好き度	消耗度	扱える範囲	数字・データ	言葉・文脈	人・利害	現場運用	制作・表現	技術・仕組み	振り返りメモ	反証・うまくいかなかった条件	次に試すこと・代替策	面接での利用	一言で言うと	再現できる条件	他社でも通じる言い換え	応募先・用途タグ
sample-work-integrated-promotion	work-integrated-promotion	事実	企画から告知・当日運用・振り返りまでを一気通貫で回す	能力・知識	仕事	試合・イベント案件を、企画設計から発信、現場、振り返りまで分断せずに扱う。	浦和レッズ | 広報 | プロモーション | プロジェクト推進	繰り返し		試合・イベントの企画、チケット販促、発信、当日運用、振り返りをまたいで担当している	浦和レッズ在籍3年目までの継続実務	広報・プロモーション担当	社内各部署、制作会社、会場運営、パートナー、メディア	案件の前後工程をつなげて進める経験を蓄積した	"職務経歴書の担当領域
企画書・告知物・進行表・振り返り資料"		短納期	中程度	社外含む	例外あり	目的が明確 | 判断期限あり | 現場運用あり | 関係者が多い | 文章化が必要	5	3	4	2	3	3	3	2	1	企画意図、対象者、判断期限、現場で起きる例外を一枚に近づけると、後工程の手戻りが減る。	決裁者や目的が不明確な状態では、進行管理だけでは前に進まない。	案件ごとに『企画・告知・現場・検証』を一枚で追える設計を定型化する。	使う	企画から告知、現場運用、振り返りまでを分断せずに進める。	目的、対象者、決裁者、期限を初期に共有できる案件	統合コミュニケーション設計・プロジェクト推進	PARK | ShapePartner | OZMA | PM | Producer
sample-work-ticket-segmentation	work-ticket-segmentation	事実	来場者層を分け、チケット施策の対象と目的を設計する	能力・知識	仕事	来場者層の違いを前提に、試合ごとの狙い・訴求・販売導線を考える。	チケット | CRM | セグメント | 集客	繰り返し		1・3・5・7層などの来場者区分を前提に、試合別の来場促進や最終節の訴求を検討した	2024年以降のチケット販促実務	広報・販売促進	広報、チケット、営業、制作、ファンコミュニケーション	全体平均だけでは見えない対象者ごとの課題を施策へ接続した	"チケット販売・発券の集計資料
試合別の告知設計メモ"		期限あり	中程度	複数部署	例外あり	数字が見える | 目的が明確 | 文章化が必要 | 関係者が多い	4	2	4	3	2	2	1	1	1	数字を見るだけでなく、その層が来場を迷う理由と、次に取ってほしい行動を置くと施策になる。	層の定義やデータ取得の粒度が揃っていないと、施策の評価が曖昧になる。	各層ごとに『障壁・訴求・導線・見る指標』を同じ形式で残す。	使う	来場者の違いを前提に、販売・発信・体験の打ち手を組み立てる。	対象データと事業上の目的が共有されているとき	顧客セグメント設計・来場促進	ファンベース | CRM | マーケティング
sample-work-opening-kashima-report-2026	work-opening-kashima-report-2026	事実	2026年開幕・鹿島戦のデジタル施策を数値で振り返る	実例	仕事	広告・SNS等の反応を、接触からコンバージョンまで追い、振り返りに使う。	広告 | SNS | KPI | レポート | 鹿島戦	単発		2026年開幕戦（鹿島戦）の施策レポートで、週別・日別の広告／SNS指標を整理した	2026年2月13日〜2月27日	レポート確認・活用	広報・プロモーション、広告関係者	impressions 4,026,474、link click 7,169、engagement 42,265、総CV 6,096を確認できる形にした	"2026年開幕戦（鹿島戦）レポート
impressions 4,026,474
link click 7,169
engagement 42,265
総CV 6,096"		期限あり	中程度	複数部署	定型	数字が見える | 目的が明確 | 文章化が必要	4	2	4	3	2	1	1	0	2	媒体ごとの数字を並べるだけでなく、次の打ち手に使う比較軸を明確にする。	CVの定義や計測範囲を確認しないと、媒体間比較を誤る。	施策前の仮説と、施策後の数値変化を同じレポート内で接続する。	使う	接触・反応・CVをつなげ、広告施策を次の判断に使えるレポートにする。	計測定義と目的KPIが共有されているとき	デジタルマーケティング分析・施策評価	マーケティング | データ | PM
sample-work-ticket-kpi-table	work-ticket-kpi-table	事実	チケット・施策数値を、判断できる表に整える	能力・知識	仕事	販売・発券・PV・反応などの数値を、進捗と判断材料が読める形にする。	Excel | Googleスプレッドシート | KPI | データ | 集客	繰り返し		チケットや施策の数値を集計し、比較・進捗・課題が読める表に整えた	継続	主担当	広報、営業、関係部署	数字を施策の判断材料として共有しやすくした	"集計シート
KPIレポート
施策振り返り資料"		期限あり	高い	複数部署	定型	数字が見える | 目的が明確 | 裁量あり	4	2	4	3	1	1	1	0	2	単に集計するより、比較対象と次の判断を同じ画面に置くと価値が出る。	元データの定義が揃っていない場合は、まず前提確認が必要。	定例で使う数表をテンプレート化する。	候補	数字を、関係者が次の判断をできる形に整える。	データ定義と意思決定の用途が共有されているとき	事業KPIの可視化・意思決定支援	データ | Excel | Tableau
sample-work-hot-summer-2026	work-hot-summer-2026	事実	URAWA HOT SUMMERの集客・体験を横断して設計する	実例	仕事	夏のテーママッチで、会場体験と来場促進を結び、企画・告知・運営を進める。	URAWA HOT SUMMER | テーママッチ | 集客 | 会場体験	単発		2026年7月20日町田戦に向け、やぐら、夏祭り、キャップ配布、学校訪問、YouTube等を含む施策を準備した	2026年6〜7月の準備	企画・告知・進行	社内各部署、制作、学校、メディア、会場運営	集客目標と会場体験を接続するための施策群を整理した	"URAWA HOT SUMMER企画資料
与野八幡小学校訪問（約580人）
メディア10社対応
チケット進捗メモ"		短納期	中程度	社外含む	例外あり	目的が明確 | 判断期限あり | 現場運用あり | 関係者が多い | 文章化が必要	5	3	4	2	3	3	3	3	1	『夏らしさ』を飾りにせず、来場する理由・当日の体験・発信素材へ落とす必要がある。	単発の話題性だけでは、販売目標に対する効き方が見えにくい。	施策ごとに、来場前・会場・来場後で果たす役割を明文化する。	使う	会場体験・来場促進・発信を、テーママッチの一つの体験として設計する。	企画テーマと集客課題を同時に扱える案件	イベントマーケティング・ファンエンゲージメント	イベント | ファンベース | PM
sample-work-enjitsu-2026	work-enjitsu-2026	事実	炎日（川崎戦）の地域性と会場体験を企画する	実例	仕事	地域の祭りとの競合も踏まえ、提灯・やぐら・餅まき等の体験設計を検討する。	炎日 | 地域連携 | イベント | 会場運営	単発		2026年8月24日川崎戦に向け、提灯、やぐら、餅まき、DJ、OB・レディース施策などを含む企画を検討した	2026年6月時点の準備	企画・調整	社内、地域、OB・レディース、会場運営、制作	地域祭りとの競合や季節性を含め、開催時期・体験の課題を整理した	"炎日企画メモ
提灯募集状況メモ
販売進捗資料"		期限あり	中程度	社外含む	前例なし	現場運用あり | 関係者が多い | 前例なし | 数字が見える	4	3	3	2	3	3	3	2	0	『地域にある祭り』とクラブ主催イベントの違いを先に定義しないと、企画の必然性が薄くなる。	地域行事との競合が強い場合、内容の魅力だけで来場を動かし切れない。	季節・競合・来場者層を踏まえた開催時期の比較案をつくる。	候補	地域文脈と会場体験を踏まえ、イベントの必然性を組み立てる。	地域との関係性と事業目的を両立させる案件	地域連携イベント企画	地域連携 | イベント
sample-work-opening-promo-corso-parco	work-opening-promo-corso-parco	事実	商業施設を使った開幕プロモーションの掲出物を進行する	実例	仕事	コルソ・パルコ等での掲出に向け、入稿物、納期、費用、設置条件を整理する。	OOH | 開幕 | コルソ | パルコ | 進行管理	単発		コルソでの4日間掲出を含む開幕プロモーションについて、特大バナー、B1パネル、等身大、撮影ボード等の制作・入稿条件を整理した	2026年6〜7月	制作進行・調整	商業施設、制作チーム、社内関係者	掲出サイズ・納期・予算を制作物ごとに整理した	"掲出物リスト
入稿日メモ（特大バナー・B1パネル 7/3、等身大・撮影ボード 7/7）
予算100万円の整理"		短納期	中程度	社外含む	例外あり	判断期限あり | 関係者が多い | 現場運用あり | 文章化が必要	3	4	4	1	2	3	3	2	0	同じ『ポスター』でも、掲出場所・用途・入稿条件が違う。制作物単位で前提を分ける。	施設側の仕様や調整状況が未確定だと、デザイン着手の判断が遅れる。	サイズ・納期・確認者・入稿形式を一行で追える進行表に統一する。	使う	複数媒体の掲出物を、仕様・納期・意思決定まで含めて進行する。	媒体仕様と制作工程を早期に並べられる案件	OOH制作進行・販促プロジェクト管理	Producer | PM | 広告
sample-work-blue-kit-kv	work-blue-kit-kv	事実	『レッズは、青い』のKV要件を言葉と画面に落とす	実例	仕事	薄い青基調・赤最小・左に選手・右にコピーという制約から、メッセージと見せ方を整理する。	KV | コピー | アートディレクション | ユニフォーム	単発		青ユニフォームのKVについて、コピー『レッズは、青い』、配色、選手配置、タイポの要件を整理した	2026年6月	企画・制作ディレクション	制作チーム、社内関係者	短いコピーと視覚要件を、制作へ渡せる状態にした	"KV制作依頼メモ
コピー案・配色・レイアウト要件"		期限あり	中程度	複数部署	例外あり	文章化が必要 | 目的が明確 | 制作・表現を扱う	5	2	4	0	3	2	1	3	0	コピーを説明文にせず、視覚の判断を進める『核』にする。	コピーだけが先行し、クラブ文脈や受け手の受け取り方が薄いと、強さが記号化する。	1行コピーごとに、視覚・媒体・想定受け手をセットで比較する。	候補	言葉と視覚の制約を整理し、制作判断の核になるコピーをつくる。	ブランド文脈と制作要件が両方ある案件	コンセプト開発・クリエイティブディレクション	PARK | SIGNING | ブランディング
sample-work-kids-park-banner	work-kids-park-banner	事実	ファミリー向け施設サインを、長期運用前提で設計する	実例	仕事	必須文言・マスコット・大判サイズ・長期使用を前提に、情報量と見やすさを整理する。	ファミリー | サイン | キッズぱ〜く | 制作進行	単発		W5600×H2800のキッズぱ〜く壁面バナーで、必須文言『ファミリーシート専用キッズぱ〜く』、4体マスコット、長期使用を前提に要件を整理した	2026年6月	要件整理・制作依頼	制作チーム、会場運営、ファミリー施策担当	現場での視認性と長期使用を両立する制作条件を明文化した	"壁面バナー制作要件
サイズ W5600×H2800"		期限あり	中程度	複数部署	定型	現場運用あり | 文章化が必要 | 目的が明確	4	2	4	0	2	2	3	3	0	『誰のための場所か』を最初に読めるようにし、装飾は役割を補強するために使う。	短期イベント用のテンションで作ると、長期掲出で情報が疲れる。	設置距離別の見え方を確認するラフチェックを定型化する。	候補	利用者・設置環境・長期運用を踏まえて、現場で機能するサインに落とす。	利用者と設置場所が明確な環境	環境グラフィック・顧客体験設計	CX | デザイン
sample-work-cinema-ad-spec	work-cinema-ad-spec	事実	シネアド出稿の規定と入稿日を、制作チームが動ける情報にする	実例	仕事	複数映画館の媒体仕様・開始希望日・素材条件を調べ、制作チーム向けに整理する。	シネアド | 媒体出稿 | 入稿 | 制作進行	単発		ユナイテッド・シネマ浦和、イオンシネマ浦和美園、MOVIX川口、イオンシネマ川口での15秒出稿に向け、規定・入稿日・制作条件を整理した	2026年6月	調査・制作連携	映画館媒体社、制作チーム、社内関係者	制作チームが判断・制作着手できる情報に変換した	"映画館4館の出稿予定
15秒素材の制作条件メモ"		期限あり	高い	社外含む	例外あり	目的が明確 | 判断期限あり | 文章化が必要 | 関係者が多い	4	2	4	1	2	2	2	1	1	調査結果を羅列せず、『誰がいつ何を判断すれば制作が進むか』に並べ替える。	媒体社ごとの回答待ちが残ると、確定情報と仮情報が混ざる。	媒体ごとに『確定・確認中・制作判断に必要』を色分けする。	候補	複数媒体の仕様を、制作が進む判断情報へ翻訳する。	媒体仕様と希望開始日を早期に集められる案件	メディアプランニング支援・制作進行	広告 | Producer
sample-work-community-events	work-community-events	事実	地域イベントの年間日程を、クラブ施策の検討材料として整理する	実例	仕事	水かけ祭りや区民イベントなど、地域の予定を一覧化し、クラブの参加・連携の判断に使う。	地域連携 | イベント | 年間計画 | ホームタウン	繰り返し		2026年7月〜11月の地域イベント日程を整理し、水かけ祭り、南区、桜区、緑区・美園、中央区、浦和区の機会を把握した	2026年6月	情報整理・企画検討	地域団体、自治体、社内関係者	地域連携の候補を、日程とエリアの観点で比較できる状態にした	地域イベント日程メモ		余裕あり	高い	社外含む	例外あり	裁量あり | 目的が明確 | 関係者が多い	4	2	3	1	2	3	2	1	0	単発参加ではなく、地域・季節・クラブ側の目的を重ねると連携の筋が出る。	日程一覧だけでは、地域にとっての意味や運営負荷が見えない。	各イベントに『地域側の目的・クラブ側の価値・必要資源』を追記する。	候補	地域の予定とクラブの目的を重ね、連携機会を設計する。	地域側の関心とクラブの役割を確認できるとき	地域連携・コミュニティマーケティング	社会連携 | 地域
sample-work-what-can-i-do	work-what-can-i-do	事実	『What Can I Do?』の宣言を、会見・映像・社内浸透までつなげる	実例	仕事	新社長・SDの概念宣言を、メディア会見、試合前映像、SNS、社内へ一貫して伝える準備をする。	理念浸透 | 会見 | 映像 | 社内コミュニケーション	単発		2026年7月5日に向け、新社長とSDの概念宣言について、会見台本、Q&A、宣言文投影、試合前映像の運用条件、SNS体制、社内浸透を整理した	2026年6〜7月の準備	広報設計・進行	社長、SD、監督、広報、制作、メディア、社内各部署	言葉だけの宣言にせず、発信と運用の接点を設計した	"会見台本
宣言文投影案
Ask / Act / Proveの整理
試合前映像Mode A/B/Cの運用メモ"		短納期	中程度	社外含む	前例なし	目的が明確 | 判断期限あり | 関係者が多い | 文章化が必要 | 前例なし	5	3	4	0	3	3	2	2	1	理念は文章の出来だけでなく、誰がどの場面で判断に使うかまで設計して初めて浸透に近づく。	勝敗や現場の空気と切り離して発信すると、宣言が形式だけに見える。	宣言内容を、日常業務での具体的な判断例へ変換する。	使う	抽象的な理念を、会見・映像・SNS・社内運用で使える言葉と判断に落とす。	組織の意志を、複数チャネルで一貫して伝える必要がある案件	ブランドストーリー設計・組織コミュニケーション	PARK | inquire | ブランディング
sample-work-matchday-video-conditions	work-matchday-video-conditions	事実	試合前映像の出し分けを、勝敗や内容に応じた運用ルールにする	実例	仕事	映像表現を固定せず、未勝利時も含めた出し分けと判断者をあらかじめ定める。	映像 | 運用設計 | 試合日 | 判断基準	単発		試合前映像をMode A/B/Cに分け、未勝利時の扱い、判断者、復帰条件を事前に整理した	2026年7月の宣言浸透設計	運用設計・広報	広報責任者、監督、SD、制作、SNS担当	表現の方向性を、現場で迷わない判断ルールにした	"Mode A/B/C運用メモ
判断者・復帰条件の整理"		期限あり	中程度	複数部署	前例なし	判断期限あり | 前例なし | 現場運用あり | 関係者が多い	4	2	4	0	3	2	3	2	1	『良い表現』を作るだけでなく、良くない状況でもどう使うかを決めると運用が強くなる。	判断者が多すぎると、試合直前に意思決定が遅れる。	判断に必要な情報と連絡導線を、試合日の時系列に置く。	候補	表現を現場で迷わず使える、条件付きの運用ルールに変える。	状況変化に応じて発信を切り替える必要がある案件	コンテンツ運用設計・危機時コミュニケーション	PR | コンテンツ
sample-work-school-invitation-2627	work-school-invitation-2627	事実	県内小学生2,627人招待を、告知・申込・KVまで設計する	実例	仕事	県内小学生招待の対象・日程・申込期間・KV要件を、一貫した募集導線にする。	招待施策 | 小学生 | KV | 申込導線	単発		2026年8月1日のRB大宮戦に向け、埼玉県内小学生2,627人招待、申込期間、会場、KVの必須要素を整理した	2026年6〜7月の準備	企画・告知・制作進行	学校・保護者、制作、チケット、会場運営	『2,627人ご招待』を主役にした募集導線とKV要件を作成した	"対象：埼玉県内小学生2,627人
申込：7月2日10:00〜7月15日23:59
KV要件：マスコット・右側写真素材風・3階層タイポ"		短納期	中程度	社外含む	定型	目的が明確 | 判断期限あり | 文章化が必要 | 現場運用あり	5	2	4	2	3	2	2	3	1	招待人数を単なる数字にせず、対象者が『自分ごと』にできる募集体験へ変える。	保護者が判断する施策では、子ども向けの見た目だけでは申込の不安が残る。	子ども向けの魅力と保護者向けの安心情報を分けて設計する。	使う	招待人数・対象者・KV・申込導線をつなげ、参加を具体的な行動へ変える。	対象者と申込障壁が明確な集客案件	キャンペーン設計・ファミリーマーケティング	ファミリー | キャンペーン
sample-work-rex-fanmeeting	work-rex-fanmeeting	事実	REX限定の選手ファンミーティングを設計する	実例	仕事	節目となる選手の記録と会員価値をつなげ、限定イベントの対象・体験・運用を考える。	ファンクラブ | REX | 会員施策 | イベント	単発		西川周作600試合に合わせ、REX限定『SHUSAKU FAN MEETING』を検討・準備した	2026年8月に向けた準備	会員施策・企画	ファンクラブ、選手、運営、会員	選手の節目を会員接点に変える企画を扱った	"REX限定イベント企画メモ
西川周作600試合の節目"		期限あり	中程度	複数部署	例外あり	目的が明確 | 現場運用あり | 関係者が多い	5	2	3	1	3	3	2	2	0	記録の大きさと会員が得る特別感を、同じ体験の中で見せる。	限定性だけを強めると、参加できない会員への説明が弱くなる。	参加者・非参加者の両方に残るコンテンツ導線を考える。	候補	選手の節目を、会員の帰属意識につながる体験へ変える。	既存ファンとの関係を深める施策	CRM・会員エンゲージメント	ファンベース | CRM
sample-work-rex-parent-child	work-rex-parent-child	事実	親子向けREXイベントを、人数・選手・導線まで運用設計する	実例	仕事	練習後の親子イベントを、少人数枠・選手参加・当日動線を含めて準備する。	親子 | REX | イベント運営 | ファミリー	単発		2026年8月の親子イベントについて、各回10組×2、選手3〜5名×2という枠と運用を整理した	2026年8月に向けた準備	企画・当日運用設計	会員、親子、選手、運営	小規模イベントの参加条件と当日運用を具体化した	"親子イベント枠：各回10組×2
選手参加：3〜5名×2"		期限あり	中程度	複数部署	例外あり	現場運用あり | 関係者が多い | 目的が明確	4	3	3	1	2	3	3	1	0	少人数イベントは『枠数』より、受付・待機・選手との接点の密度が満足度を左右する。	選手スケジュールが変動すると、参加体験の設計が崩れやすい。	選手人数が変わっても成立する代替プログラムを準備する。	候補	少人数イベントを、参加者の体験と現場運用の両方から設計する。	対象人数と当日の制約が把握できるイベント	イベントオペレーション・顧客体験設計	イベント | ファミリー
sample-work-transfer-release	work-transfer-release	事実	選手移籍リリースを、正確さとクラブ文脈を両立して整える	実例	仕事	年齢・経歴・出場記録・コメントなどを確認し、公式発表として整える。	リリース | 選手移籍 | 校正 | メディア対応	繰り返し		石原広教選手の完全移籍発表に際し、リリース原稿の事実確認・構成・表現を扱った	2026年6月	広報・原稿確認	選手、強化、広報、メディア、ファン	公式発表で必要な正確性と読みやすさを両立する作業を行った	"移籍発表原稿
選手プロフィール・出場記録"		短納期	中程度	複数部署	定型	文章化が必要 | 判断期限あり | 目的が明確	4	2	4	1	3	2	1	1	0	定型の中でも、誤記の防止と、読者が知りたい順番を両方見る。	一次情報の確認が遅れると、表現調整以前に発表の精度が担保できない。	移籍リリース用の確認チェックリストを更新する。	使う	公式発表に必要な正確性と、受け手が理解しやすい構成を両立する。	事実確認の担当と締切が明確な発信	コーポレートコミュニケーション・編集	PR | 広報
sample-work-crisis-releases	work-crisis-releases	事実	センシティブな事案のリリースを、事実・対応・再発防止に分けて伝える	実例	仕事	中指行為、横断幕ルール違反、駐車場冠水による中止等の発信を扱い、表現と必要情報を整理する。	危機対応 | お知らせ | ルール | 謝罪 | 運用改善	繰り返し		中指行為の第1報・第2報、横断幕ルール違反、駐車場冠水中止等のリリース文面を扱った	2026年6月を含む継続実務	広報・文面整理	クラブ、運営、関係者、来場者、メディア、ファン	事実、来場者に必要な行動、クラブの対応を分けて発信する実務を積んだ	"該当リリース原稿
問い合わせ・運用メモ"		当日対応	中程度	社外含む	例外あり	判断期限あり | 文章化が必要 | 現場運用あり | 関係者が多い	2	5	4	1	3	3	3	0	0	感情的な評価を足さず、事実・対応・来場者が今取る行動を分けると、文面の役割が明確になる。	事実確認が不十分な段階で断定すると、訂正や不信につながる。	緊急発信の初報／続報のテンプレートと確認フローを整理する。	使う	センシティブな状況でも、必要な事実と行動を誤解なく伝える。	事実確認と最終判断の導線が確保できる状況	危機管理広報・リスクコミュニケーション	PR | 危機対応
sample-work-media-comment-response	work-media-comment-response	事実	記者からのコメント依頼に、想定別の素材を用意して返す	実例	仕事	試合結果が未確定の取材依頼に対し、活躍して勝利／活躍して敗戦／ミスを含む敗戦などの条件別にコメントを準備する。	メディア対応 | コメント | シナリオ | 広報	繰り返し		彩艶選手に関する観戦コメント依頼に対し、試合展開別のコメント案を検討した	2026年6月	広報・取材対応	新聞社、広報、試合関係者	試合後の短時間でも事実に沿って返せる準備を行った	"埼玉新聞からのコメント依頼
条件別コメント案"		当日対応	中程度	社外含む	前例なし	判断期限あり | 文章化が必要 | 現場運用あり	3	4	4	0	3	3	2	1	0	予測ではなく、起こりうる条件ごとに『事実が確認できたら使える表現』を置く。	事前案をそのまま使うと、試合の実態とずれる危険がある。	試合後に確認すべき事実項目をコメント案の横に置く。	候補	不確実な状況でも、事実に沿った取材対応を短時間で組み立てる。	事実確認と発信期限が近い案件	メディアリレーションズ・シナリオプランニング	PR | メディア
sample-work-steward-feature	work-steward-feature	事実	現場スタッフの役割を、具体的な行動から記事にする	実例	仕事	スチュワードの業務を、座席誘導・落とし物・車椅子・迷子・ベビーカー・外国語対応などの具体から伝える。	オウンドメディア | 取材 | スチュワード | ストーリー	単発		毎日新聞『レッズ通信』で、スチュワードの活動人数、研修、活動時間、歴史、具体業務を整理した	2026年	広報・取材整理	スチュワード、メディア、来場者、クラブ	裏方の役割を、抽象的な称賛ではなく具体的な価値として伝える材料を整理した	"最大約200人・通常100〜150人
1995年駒場からの活動
試合4時間前集合〜終了1時間後"		期限あり	中程度	社外含む	定型	文章化が必要 | 目的が明確 | 関係者が多い	5	2	4	1	3	3	2	2	0	『先進的』と抽象化せず、具体的に誰の困りごとをどう減らしているかで書く。	情報だけを並べると、人が働く温かみや現場感が消える。	活動の一場面を起点に、役割の全体像へ広げる構成を試す。	使う	現場の具体を拾い、組織や人の役割を伝わるストーリーに変える。	現場の一次情報にアクセスできる取材・編集案件	オウンドメディア編集・ストーリーテリング	編集 | PR | コンテンツ
